iter	Passed	Remaining
0	0	98
1	2	100
2	3	97
3	3	90
4	4	86
5	5	84
6	6	83
7	7	83
8	8	81
9	8	79
10	9	79
11	10	78
12	11	77
13	12	77
14	13	76
15	14	74
16	15	74
17	16	73
18	16	72
19	17	70
20	18	69
21	19	68
22	20	67
23	21	66
24	21	65
25	22	64
26	23	63
27	24	63
28	25	61
29	26	60
30	26	60
31	27	59
32	28	58
33	29	57
34	30	56
35	31	56
36	32	54
37	33	53
38	33	52
39	34	52
40	35	51
41	35	49
42	36	48
43	37	48
44	38	47
45	39	46
46	39	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	44	39
53	45	38
54	46	37
55	47	36
56	47	36
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	55	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	60	22
73	61	21
74	62	20
75	63	19
76	64	19
77	64	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	14
83	69	13
84	69	12
85	70	11
86	71	10
87	72	9
88	72	9
89	73	8
90	74	7
91	75	6
92	76	5
93	76	4
94	77	4
95	77	3
96	78	2
97	79	1
98	80	0
99	80	0
