iter	Passed	Remaining
0	0	968
1	1	893
2	2	834
3	3	803
4	3	783
5	4	772
6	5	766
7	6	760
8	6	748
9	7	760
10	8	755
11	9	753
12	9	752
13	10	750
14	11	742
15	12	738
16	12	734
17	13	729
18	14	738
19	15	740
20	15	737
21	16	733
22	17	731
23	17	726
24	18	725
25	19	723
26	20	722
27	20	724
28	21	724
29	22	723
30	23	721
31	23	721
32	24	720
33	25	717
34	26	717
35	26	717
36	27	718
37	28	718
38	29	716
39	29	716
40	30	715
41	31	714
42	32	712
43	32	711
44	33	712
45	34	712
46	34	709
47	35	709
48	36	709
49	37	706
50	37	705
51	38	704
52	39	703
53	40	702
54	40	702
55	41	701
56	42	700
57	43	699
58	43	698
59	44	698
60	45	699
61	46	699
62	47	699
63	47	697
64	48	695
65	49	694
66	49	693
67	50	691
68	51	692
69	51	690
70	52	690
71	53	689
72	54	688
73	54	687
74	55	686
75	56	685
76	57	684
77	57	682
78	58	681
79	59	680
80	59	679
81	60	678
82	60	673
83	61	672
84	62	671
85	63	670
86	63	669
87	64	667
88	65	669
89	66	667
90	66	666
91	67	665
92	68	663
93	68	662
94	69	660
95	70	659
96	70	659
97	71	660
98	72	659
99	73	658
100	73	657
101	74	655
102	75	653
103	75	652
104	76	650
105	77	650
106	78	650
107	78	649
108	79	647
109	79	646
110	80	644
111	81	642
112	81	641
113	82	639
114	82	637
115	83	637
116	84	635
117	84	634
118	85	633
119	86	631
120	86	630
121	87	628
122	87	626
123	88	625
124	89	623
125	90	626
126	91	625
127	92	628
128	93	629
129	94	630
130	94	629
131	95	628
132	96	628
133	97	627
134	97	625
135	98	624
136	98	623
137	99	621
138	100	620
139	100	618
140	101	617
141	101	614
142	102	614
143	103	614
144	104	613
145	104	612
146	105	611
147	106	610
148	106	609
149	107	607
150	107	606
151	108	606
152	109	606
153	110	604
154	110	603
155	111	602
156	111	600
157	112	599
158	113	598
159	113	597
160	114	594
161	114	594
162	115	593
163	116	592
164	117	592
165	117	591
166	118	589
167	118	588
168	119	587
169	120	586
170	120	585
171	121	585
172	122	584
173	123	584
174	123	582
175	124	581
176	124	580
177	125	579
178	126	577
179	126	576
180	127	575
181	127	574
182	128	574
183	129	573
184	129	572
185	130	571
186	131	569
187	131	568
188	132	567
189	132	566
190	133	565
191	134	565
192	135	565
193	135	564
194	136	562
195	136	561
196	137	560
197	138	559
198	138	558
199	139	557
200	140	557
201	140	556
202	141	555
203	142	554
204	142	553
205	143	552
206	144	551
207	144	550
208	145	549
209	145	548
210	146	547
211	147	547
212	148	547
213	148	546
214	149	545
215	149	544
216	150	543
217	151	541
218	151	540
219	152	539
220	152	539
221	153	538
222	154	538
223	155	537
224	155	536
225	156	535
226	156	534
227	157	533
228	158	532
229	158	531
230	159	530
231	160	530
232	160	529
233	161	528
234	162	527
235	162	526
236	163	525
237	163	524
238	164	523
239	165	522
240	165	522
241	166	521
242	167	520
243	167	519
244	168	518
245	168	517
246	169	516
247	170	515
248	170	514
249	171	513
250	171	513
251	172	512
252	173	511
253	174	511
254	174	510
255	175	509
256	175	508
257	176	507
258	177	506
259	177	505
260	178	505
261	179	505
262	179	504
263	180	503
264	181	502
265	181	501
266	182	500
267	182	499
268	183	498
269	184	497
270	184	496
271	185	496
272	186	495
273	186	495
274	187	494
275	188	493
276	188	492
277	189	491
278	189	490
279	190	489
280	191	489
281	191	488
282	192	488
283	193	487
284	193	486
285	194	485
286	195	484
287	195	483
288	196	483
289	196	482
290	197	481
291	198	481
292	199	480
293	199	479
294	200	478
295	200	477
296	201	476
297	202	475
298	202	475
299	203	474
300	204	473
301	204	473
302	205	472
303	206	471
304	206	470
305	207	470
306	207	469
307	208	468
308	209	467
309	209	466
310	210	466
311	211	465
312	211	464
313	212	464
314	213	463
315	213	462
316	214	461
317	214	460
318	215	459
319	216	459
320	216	458
321	217	458
322	218	457
323	219	456
324	219	456
325	220	455
326	220	454
327	221	454
328	222	453
329	222	452
330	223	451
331	224	451
332	224	450
333	225	449
334	226	448
335	226	448
336	227	447
337	227	446
338	228	445
339	229	445
340	229	444
341	230	443
342	231	442
343	231	442
344	232	441
345	233	440
346	233	439
347	234	439
348	234	438
349	235	437
350	236	437
351	237	436
352	238	437
353	239	436
354	239	436
355	240	435
356	241	434
357	241	433
358	242	433
359	243	432
360	243	431
361	244	431
362	245	430
363	245	429
364	246	428
365	246	427
366	247	427
367	248	426
368	249	425
369	249	425
370	250	424
371	250	423
372	251	422
373	252	422
374	252	421
375	253	420
376	254	419
377	254	419
378	255	418
379	256	417
380	256	417
381	257	416
382	257	415
383	258	414
384	259	414
385	259	413
386	260	412
387	261	412
388	261	411
389	262	410
390	263	409
391	263	409
392	264	408
393	264	407
394	265	406
395	266	406
396	266	405
397	267	404
398	268	404
399	269	403
400	269	403
401	270	402
402	271	401
403	271	400
404	272	400
405	272	399
406	273	398
407	274	398
408	275	397
409	275	396
410	276	395
411	276	395
412	277	394
413	278	393
414	278	392
415	279	392
416	280	391
417	281	392
418	282	391
419	282	390
420	283	389
421	284	389
422	284	388
423	285	387
424	285	386
425	286	386
426	287	385
427	287	384
428	288	383
429	288	382
430	289	382
431	290	381
432	291	381
433	291	380
434	292	379
435	292	378
436	293	378
437	294	377
438	294	376
439	295	375
440	296	375
441	296	374
442	297	374
443	298	373
444	298	372
445	299	371
446	300	371
447	300	370
448	301	369
449	301	368
450	302	368
451	303	367
452	304	367
453	305	366
454	305	366
455	306	365
456	307	365
457	307	364
458	308	363
459	309	363
460	310	362
461	310	361
462	311	361
463	312	360
464	312	359
465	313	359
466	314	358
467	314	357
468	315	357
469	316	356
470	316	355
471	317	355
472	318	354
473	318	353
474	319	353
475	319	352
476	320	351
477	321	350
478	322	350
479	322	349
480	323	349
481	324	348
482	324	347
483	325	347
484	326	346
485	327	345
486	327	345
487	328	344
488	329	344
489	330	343
490	330	342
491	331	342
492	332	341
493	332	340
494	333	340
495	333	339
496	334	338
497	335	338
498	335	337
499	336	336
500	337	335
501	337	335
502	338	334
503	338	333
504	339	332
505	340	332
506	341	331
507	341	330
508	342	330
509	342	329
510	343	328
511	344	327
512	344	327
513	345	326
514	345	325
515	346	325
516	347	324
517	348	323
518	348	323
519	349	322
520	349	321
521	350	321
522	351	320
523	351	319
524	352	318
525	353	318
526	354	317
527	354	317
528	355	316
529	356	316
530	357	315
531	358	315
532	359	314
533	359	313
534	360	313
535	361	312
536	362	312
537	362	311
538	363	310
539	364	310
540	364	309
541	365	309
542	366	308
543	367	307
544	368	307
545	368	306
546	369	306
547	370	305
548	371	305
549	372	305
550	373	304
551	374	303
552	375	303
553	376	303
554	377	302
555	378	302
556	379	301
557	379	300
558	380	300
559	381	299
560	382	299
561	382	298
562	383	297
563	384	297
564	385	296
565	386	295
566	386	295
567	387	294
568	388	294
569	389	293
570	389	292
571	390	292
572	391	291
573	392	291
574	392	290
575	393	289
576	394	289
577	395	288
578	396	288
579	397	287
580	398	287
581	399	287
582	400	286
583	401	286
584	402	285
585	403	284
586	404	284
587	405	283
588	406	283
589	406	282
590	407	282
591	408	281
592	409	281
593	410	280
594	411	280
595	412	279
596	413	278
597	414	278
598	414	277
599	415	277
600	416	276
601	417	276
602	418	275
603	419	274
604	419	274
605	420	273
606	421	272
607	422	272
608	423	271
609	423	271
610	424	270
611	425	269
612	426	269
613	427	268
614	428	267
615	429	267
616	430	266
617	430	266
618	431	265
619	432	264
620	432	264
621	433	263
622	434	262
623	435	262
624	436	261
625	436	260
626	437	260
627	438	259
628	438	258
629	439	257
630	439	257
631	440	256
632	441	255
633	442	255
634	442	254
635	443	253
636	443	252
637	444	252
638	445	251
639	445	250
640	446	250
641	447	249
642	448	248
643	448	248
644	449	247
645	450	246
